"","x"
"1",100
"2",470
"3",474
"4",475
"5",478
"6",479
"7",482
"8",483
"9",484
"10",485
"11",487
"12",488
"13",490
"14",492
"15",493
"16",494
"17",495
"18",496
"19",497
"20",499
"21",500
"22",502
"23",503
"24",504
"25",505
"26",506
"27",507
"28",508
"29",509
"30",510
"31",512
"32",513
"33",514
"34",515
"35",516
"36",517
"37",518
"38",519
"39",520
"40",521
"41",522
"42",523
"43",524
"44",526
"45",527
"46",529
"47",530
"48",531
"49",532
"50",533
"51",534
"52",535
"53",537
"54",538
"55",540
"56",541
"57",542
"58",543
"59",544
"60",545
"61",546
"62",547
"63",548
"64",550
"65",551
"66",552
"67",553
"68",554
"69",555
"70",556
"71",557
"72",558
"73",559
"74",560
"75",561
"76",562
"77",564
"78",565
"79",567
"80",568
"81",569
"82",570
"83",571
"84",572
"85",610
"86",611
"87",613
"88",614
"89",615
"90",616
"91",617
"92",618
"93",619
"94",620
"95",621
"96",622
"97",623
"98",624
"99",625
"100",626
"101",627
"102",628
"103",629
"104",630
"105",631
"106",632
"107",633
"108",634
"109",635
"110",637
"111",638
"112",640
"113",641
"114",642
"115",643
"116",644
"117",645
"118",646
"119",647
"120",648
"121",649
"122",650
"123",651
"124",652
"125",653
"126",654
"127",655
"128",656
"129",657
"130",658
"131",659
"132",660
"133",661
"134",662
"135",663
"136",664
"137",665
"138",666
"139",667
"140",668
"141",669
"142",670
"143",671
"144",672
"145",673
"146",674
"147",675
"148",676
"149",677
"150",678
"151",679
"152",680
"153",681
"154",682
"155",683
"156",684
"157",685
"158",686
"159",687
"160",688
"161",689
"162",690
"163",691
"164",692
"165",693
"166",694
"167",695
"168",696
"169",697
"170",698
"171",699
"172",700
"173",701
"174",702
"175",703
"176",704
"177",705
"178",706
"179",707
"180",708
"181",709
"182",710
"183",711
"184",712
"185",713
"186",714
"187",715
"188",716
"189",717
"190",718
"191",719
"192",720
"193",721
"194",722
"195",723
"196",724
"197",725
"198",726
"199",727
"200",728
"201",729
"202",730
"203",731
"204",732
"205",733
"206",734
"207",735
